sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,stage,donor,assembly,supplementary_files_format_and_content,biosample,sra
a002c212,,,,,,,A002C212,GSM6325735,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325735,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325735/suppl/GSM6325735_A002C212-Normal_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120004,colon,Mucosa,A002,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635192,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120004
a014c012,,,,,,,A014C012,GSM6325736,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325736,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325736/suppl/GSM6325736_A014C012-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120005,colon,Polyp,A014,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635193,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120005
a014c040,,,,,,,A014C040,GSM6325738,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325738,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325738/suppl/GSM6325738_A014C040-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120006,colon,Polyp,A014,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635195,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120006
a014c041,,,,,,,A014C041,GSM6325739,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325739,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325739/suppl/GSM6325739_A014C041-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120007,colon,Polyp,A014,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635197,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120007
a014c046,,,,,,,A014C046,GSM6325740,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325740,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325740/suppl/GSM6325740_A014C046-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120008,colon,Polyp,A014,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635199,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120008
a014c053,,,,,,,A014C053,GSM6325742,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325742,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325742/suppl/GSM6325742_A014C053-Normal_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120009,colon,Mucosa,A014,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635200,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120009
a014c054,,,,,,,A014C054,GSM6325743,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325743,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325743/suppl/GSM6325743_A014C054-Normal_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120010,colon,Mucosa,A014,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635201,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120010
a015c004,,,,,,,A015C004,GSM6325745,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325745,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325745/suppl/GSM6325745_A015C004-Polyp_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120011,colon,Polyp,A015,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635202,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120011
a015c010,,,,,,,A015C010,GSM6325746,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325746,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325746/suppl/GSM6325746_A015C010-Normal_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120012,colon,Mucosa,A015,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635203,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120012
crc15157,,,,,,,CRC15157,GSM6325747,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon cancer,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325747,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325747/suppl/GSM6325747_CRC15157-AdCa_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120013,colon cancer,AdeCa,15157,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635204,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120013
crc19779,,,,,,,CRC19779,GSM6325749,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon cancer,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325749,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325749/suppl/GSM6325749_CRC19779-AdCa_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120014,colon cancer,AdeCa,19779,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635205,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120014
crc25135,,,,,,,CRC25135,GSM6325750,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon cancer,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325750,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325750/suppl/GSM6325750_CRC25135-AdCa_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120015,colon cancer,AdeCa,25135,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635206,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120015
crc26616,,,,,,,CRC26616,GSM6325752,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon cancer,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325752,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325752/suppl/GSM6325752_CRC26616-AdCa_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120016,colon cancer,AdeCa,26616,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635207,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120016
crc8396,,,,,,,CRC8396,GSM6325753,Public on Aug 27 2022,Jul 11 2022,Nov 29 2022,SRA,1,colon cancer,Homo sapiens,9606,total RNA,"Total RNA was extracted from ~5mg frozen tissue using zymo extraction kit (R1054), Assay was performed using NEB E7775S,E7490S following manufacturer's protocol. 1000 ng of DNase I-treated initial total RNA input was used","RNA seq results were processed using Tomas Bencomo’s pipeline (https://github.com/tjbencomo/bulk-rnaseq),",GPL24676,"Yizhou,,Zhu",yzhu0@stanford.edu,Michael Snyder,Genetics,Stanford University,"3165 Porter Dr, Rm 2260",Palo ALto,CA,94304,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6325753,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6325nnn/GSM6325753/suppl/GSM6325753_CRC8396-AdCa_quant.sf.gz,"GSE207949, GSE207954",0,SRX16120017,colon cancer,AdeCa,8396,hg38,".sf (expression level per transcript), .csv (DESeq2 differential expression)",https://www.ncbi.nlm.nih.gov/biosample/SAMN29635208,https://www.ncbi.nlm.nih.gov/sra?term=SRX16120017
