sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_supplementary_file_2,sample_series_id,sample_data_row_count,big_key,isoloation_markers,cell_type,strain,developmental_stage,tissue,genotype,assembly,supplementary_files_format_and_content,biosample,sra
wt_pmn_h3k27ac_ip2,,,,,,,WT_PMN_H3K27ac_IP2,GSM6865829,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"Cells were sorted from mouse fetuses. ChIP reactions were performed using 50,000 FACS-sorted cells per IP. IPed and Input DNA were purified with MinElute PCR Purification Kit., Libraries were constructed using Rubicom ThruPLEX DNA-Seq Kit. Libraries were size-selected at 100-700 bp by AMPure XP beads. Libraries were quantified with KAPA qPCR and bioanalyzer prior to single-end sequencing.","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore (Martin 2011) with the following settings: fastqc, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackli ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM6865829,NONE,,"GSE221424, GSE221427",0,SRX18788398,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  Control or Runx1ΔGMP specific differential peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331528,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788398
ko_pmn_h3k27ac_in,,,,,,,KO_PMN_H3K27ac_IN,GSM6865830,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"Cells were sorted from mouse fetuses. ChIP reactions were performed using 50,000 FACS-sorted cells per IP. IPed and Input DNA were purified with MinElute PCR Purification Kit., Libraries were constructed using Rubicom ThruPLEX DNA-Seq Kit. Libraries were size-selected at 100-700 bp by AMPure XP beads. Libraries were quantified with KAPA qPCR and bioanalyzer prior to single-end sequencing.","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore (Martin 2011) with the following settings: fastqc, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackli ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM6865830,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865830/suppl/GSM6865830_KO_Veh.IN.RPGC.bw,,"GSE221424, GSE221427",0,SRX18788399,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  Control or Runx1ΔGMP specific differential peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331527,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788399
ko_pmn_h3k27ac_ip1,,,,,,,KO_PMN_H3K27ac_IP1,GSM6865831,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"Cells were sorted from mouse fetuses. ChIP reactions were performed using 50,000 FACS-sorted cells per IP. IPed and Input DNA were purified with MinElute PCR Purification Kit., Libraries were constructed using Rubicom ThruPLEX DNA-Seq Kit. Libraries were size-selected at 100-700 bp by AMPure XP beads. Libraries were quantified with KAPA qPCR and bioanalyzer prior to single-end sequencing.","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore (Martin 2011) with the following settings: fastqc, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackli ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM6865831,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865831/suppl/GSM6865831_H3K27ac_KO_specific_peaks_rpkmFC2.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865831/suppl/GSM6865831_KO_Veh.IP.RPGC.bw,"GSE221424, GSE221427",0,SRX18788400,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  Control or Runx1ΔGMP specific differential peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331526,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788400
ko_pmn_h3k27ac_ip2,,,,,,,KO_PMN_H3K27ac_IP2,GSM6865832,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,genomic DNA,"Cells were sorted from mouse fetuses. ChIP reactions were performed using 50,000 FACS-sorted cells per IP. IPed and Input DNA were purified with MinElute PCR Purification Kit., Libraries were constructed using Rubicom ThruPLEX DNA-Seq Kit. Libraries were size-selected at 100-700 bp by AMPure XP beads. Libraries were quantified with KAPA qPCR and bioanalyzer prior to single-end sequencing.","Sequencing reads were demultiplexed using Bcl2Fastq v2.20 then trimmed and filtered for quality using Trim Galore (Martin 2011) with the following settings: fastqc, and trim1. Reads were then aligned to the mouse genome (mm10) using bowtie 2.3.5.1. Only uniquely mapped reads with fewer than 2 mismatches were used for downstream analyses. Samtools v.1.1 was used to convert SAM files to BAM files, and Sambamba v0.6.6 was used to filter out duplicates, multi-mappers, reads mapped to ChrM or blackli ...",GPL17021,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM6865832,NONE,,"GSE221424, GSE221427",0,SRX18788401,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,BigWig files provided are normalized tracks of merged replicatesBed files provided are the output of merged Control and Runx1ΔGMP MACS2 peak calling:  Control or Runx1ΔGMP specific differential peaks were called if the RPKM fold change of between Control and Runx1ΔGMP peaks was greater than 2,https://www.ncbi.nlm.nih.gov/biosample/SAMN32331525,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788401
wt_pmn_rna_a,,,,,,,WT_PMN_RNA_A,GSM6865833,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865833,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865833/suppl/GSM6865833_PMN_WT_rna.bw,,"GSE221425, GSE221427",0,SRX18788376,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331523,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788376
wt_pmn_rna_b,,,,,,,WT_PMN_RNA_B,GSM6865834,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865834,NONE,,"GSE221425, GSE221427",0,SRX18788377,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331522,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788377
wt_pmn_rna_c,,,,,,,WT_PMN_RNA_C,GSM6865835,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865835,NONE,,"GSE221425, GSE221427",0,SRX18788378,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331521,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788378
ko_pmn_rna_a,,,,,,,KO_PMN_RNA_A,GSM6865836,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865836,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865836/suppl/GSM6865836_PMN_KO_rna.bw,,"GSE221425, GSE221427",0,SRX18788379,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331520,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788379
ko_pmn_rna_b,,,,,,,KO_PMN_RNA_B,GSM6865837,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865837,NONE,,"GSE221425, GSE221427",0,SRX18788380,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331519,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788380
ko_pmn_rna_c,,,,,,,KO_PMN_RNA_C,GSM6865838,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM Neutrophils,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865838,NONE,,"GSE221425, GSE221427",0,SRX18788381,CD11b+SiglecF-F4/80-Ly6G+,BM Neutrophils,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331518,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788381
wt_gmp_rna_a,,,,,,,WT_GMP_RNA_A,GSM6865839,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM GMPs,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865839,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865839/suppl/GSM6865839_GMP_WT_rna.bw,,"GSE221425, GSE221427",0,SRX18788382,Lin- cKIT+Sca1-CD16/32+CD150-,BM GMPs,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331517,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788382
wt_gmp_rna_b,,,,,,,WT_GMP_RNA_B,GSM6865840,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM GMPs,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865840,NONE,,"GSE221425, GSE221427",0,SRX18788383,Lin- cKIT+Sca1-CD16/32+CD150-,BM GMPs,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331516,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788383
wt_gmp_rna_c,,,,,,,WT_GMP_RNA_C,GSM6865841,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM GMPs,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865841,NONE,,"GSE221425, GSE221427",0,SRX18788384,Lin- cKIT+Sca1-CD16/32+CD150-,BM GMPs,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Control (Runx1f/f),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331515,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788384
ko_gmp_rna_a,,,,,,,KO_GMP_RNA_A,GSM6865842,Public on Jul 12 2023,Dec 20 2022,Jul 12 2023,SRA,1,BM GMPs,Mus musculus,10090,total RNA,"Cells were sorted from BM. Total RNA samples were isolated using RNeasy Mini Kit (Qiagen)., Sample QC, library preparations, and sequencing reactions were conducted at GENEWIZ, LLC./Azenta US, Inc. ERCC RNA Spike-In Mix  was added to normalized cell number prior to library preparation. The RNA sequencing libraries were prepared using the NEBNext Ultra II RNA Library Prep Kit for Illumina using manufacturer’s instructions. The  libraries were validated on the Agilent TapeStation, and quantified b ...",Sequencing and base calling was performed by GeneWiz (https://www.genewiz.com/). Raw sequence data (.bcl files) were converted into fastq files and de-multiplexed using Illumina Bcl2Fastq v2.20 software. One mis- match was allowed for index sequence identification. Sequence reads were trimmed to remove possible adapter sequences and nucleotides with poor quality using Trimmomatic v.0.36. The trimmed reads were mapped to the Mus musculus reference genome available on ENSEMBL using the STAR aligne ...,GPL24247,"Alexandra,,Zezulin",Alexandra.zezulin@pennmedicine.upenn.edu,Speck Lab,University of Pennsylvania,421 Curie Blvd 544 BRB II/III,Philadelphia,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic,RNA-Seq,GSM6865842,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6865nnn/GSM6865842/suppl/GSM6865842_GMP_KO_rna.bw,,"GSE221425, GSE221427",0,SRX18788385,Lin- cKIT+Sca1-CD16/32+CD150-,BM GMPs,C57BL/6J,Adult (4-6 weeks old),Bone Marrow,Runx1f/f; Cebpa-Cre + (Runx1{delta}GMP),mm10,"BigWig files provided are normalized tracks of merged replicatesCSV file provided is a summary of data analyzed using DESeq2:DESeq2 results summary was used to generate a CSV of base mean expression, P values and Log2 fold changes comparing control and Runx1ΔGMP expression.",https://www.ncbi.nlm.nih.gov/biosample/SAMN32331514,https://www.ncbi.nlm.nih.gov/sra?term=SRX18788385
